,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
934,MUTHOOTFIN,EQ,2019-01-21,527.6,526.2,548.9,523.5,545.25,544.95,538.99,813797,438631142.75,11747,215644,26.5,1,2019,443.13177258425003,0.03288476118271433,Slight or No change
935,MUTHOOTFIN,EQ,2019-01-22,544.95,544.95,549.75,535.05,542.0,542.4,542.27,757767,410911106.65,13985,143769,18.97,1,2019,443.3283801877947,-0.0046793283787505136,Slight or No change
936,MUTHOOTFIN,EQ,2019-01-23,542.4,543.7,548.0,537.65,539.95,541.7,542.04,679777,368466710.75,15177,253367,37.27,1,2019,443.5028497635631,-0.0012905604719762875,Slight or No change
937,MUTHOOTFIN,EQ,2019-01-24,541.7,539.0,549.4,539.0,540.8,541.1,544.51,685146,373068078.2,17954,160520,23.43,1,2019,443.67700159039276,-0.001107624146206465,Slight or No change
938,MUTHOOTFIN,EQ,2019-01-25,541.1,541.05,546.45,532.5,536.75,534.5,539.56,417368,225196734.35,13526,144150,34.54,1,2019,443.77561839719243,-0.012197375716133885,Slight or No change
939,MUTHOOTFIN,EQ,2019-01-28,534.5,538.0,538.0,502.65,513.4,509.05,516.03,2100474,1083911787.7,32355,1213642,57.78,1,2019,444.13037400686153,-0.0476145930776426,Slight or No change
940,MUTHOOTFIN,EQ,2019-01-29,509.05,509.05,517.95,491.3,500.0,495.45,499.03,1244124,620858996.5,24843,270039,21.71,1,2019,444.2950463098195,-0.026716432570474402,Slight or No change
941,MUTHOOTFIN,EQ,2019-01-30,495.45,497.4,503.8,491.55,499.0,500.5,497.17,452304,224871594.6,12034,94072,20.8,1,2019,444.3605358739282,0.01019275406196396,Slight or No change
942,MUTHOOTFIN,EQ,2019-01-31,500.5,500.0,505.3,495.0,504.0,499.45,500.4,1024259,512537622.4,14555,592912,57.89,1,2019,444.50551350016644,-0.002097902097902171,Slight or No change
943,MUTHOOTFIN,EQ,2019-02-01,499.45,500.45,511.9,482.0,492.0,492.55,498.45,1079351,538000721.65,21046,327937,30.38,2,2019,444.63838326680866,-0.013815196716387979,Slight or No change
944,MUTHOOTFIN,EQ,2019-02-04,492.55,493.0,505.0,483.2,500.0,502.05,495.72,498204,246971182.2,16834,69732,14.0,2,2019,444.7115768272624,0.0192873819916759,Slight or No change
945,MUTHOOTFIN,EQ,2019-02-05,502.05,501.0,504.0,493.85,497.85,498.8,498.46,396252,197514876.8,7716,56097,14.16,2,2019,444.7663668554317,-0.006473458818842759,Slight or No change
946,MUTHOOTFIN,EQ,2019-02-06,498.8,496.0,510.15,472.6,484.05,484.95,493.68,2498632,1233518011.0,53514,516695,20.68,2,2019,445.0214090390563,-0.02776663993584605,Slight or No change
947,MUTHOOTFIN,EQ,2019-02-07,484.95,491.9,531.9,484.95,517.0,516.25,513.75,4153472,2133860724.8,79418,1048816,25.25,2,2019,445.7650583023457,0.06454273636457364,Slight or No change
948,MUTHOOTFIN,EQ,2019-02-08,516.25,516.0,527.0,508.65,518.25,518.25,518.43,2129475,1103982660.5,71845,771220,36.22,2,2019,446.1509846162224,0.0038740920096851372,Slight or No change
949,MUTHOOTFIN,EQ,2019-02-11,518.25,518.25,520.75,502.45,504.5,505.1,510.62,910606,464969504.05,23988,343019,37.67,2,2019,446.2848916717381,-0.025373854317414346,Slight or No change
950,MUTHOOTFIN,EQ,2019-02-12,505.1,505.5,515.85,505.25,514.5,512.85,511.94,647541,331501965.35,19728,187070,28.89,2,2019,446.39224347531933,0.015343496337358875,Slight or No change
951,MUTHOOTFIN,EQ,2019-02-13,512.85,514.5,523.0,509.4,509.55,511.1,516.54,572617,295781526.65,19614,174232,30.43,2,2019,446.4843938468672,-0.003412303792531879,Slight or No change
